Monster	AttackStyle	XP/hr	attack XP/hr	strength XP/hr	defence XP/hr	magic XP/hr	ranged XP/hr	hitpoints XP/hr	slayer XP/hr	Options	Food	GP/hr	Cost/hr	Raw Command	Raw Trip
Ankou	mage	126k XP/hr	0	0	0	79.6k	0	26.5k	19.9k		231.5 Sharks/hr	 Loot/hr	231.5/hr Shark Cost/hr	{"duration":108456600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":1},"messages":["15.00% for stats","7% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.47% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.21x from risky Wilderness experience, 1x from being in no multi)","Removing items: 7k Shark"]}	{"quantity":9997,"messages":["You missed out on 3x kills because of pk encounters","You killed 9997x of your 10000 remaining kills, you now have 3 kills remaining."],"newKC":9997}
Ankou	mage	280k XP/hr	0	0	0	176.8k	0	58.8k	44.2k		514.4 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,514.4/hr Shark Cost/hr	{"duration":48813800,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":2},"messages":["15.00% for stats","7% for KC","55% for Ice Barrage","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.50% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.22x from risky Wilderness experience, 1x from being in no multi)","Removing items: 26.6k Blood rune, 53.1k Death rune, 7k Shark, 79.7k Water rune"]}	{"quantity":9988,"messages":["You missed out on 12x kills because of pk encounters","You killed 9988x of your 10000 remaining kills, you now have 12 kills remaining."],"newKC":9988}
Ankou	mage	126k XP/hr	0	0	0	79.6k	0	26.5k	19.9k		231.5 Sharks/hr	 Loot/hr	231.5/hr Shark Cost/hr	{"duration":108456600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["magic"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":2},"messages":["15.00% for stats","7% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.41% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.18x from risky Wilderness experience, 1x from being in no multi)","Removing items: 7k Shark"]}	{"quantity":9994,"messages":["You missed out on 6x kills because of pk encounters","You killed 9994x of your 10000 remaining kills, you now have 6 kills remaining."],"newKC":9994}
Ankou	mage	412k XP/hr	0	0	0	0	260.3k	86.5k	65.1k		756.5 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,756.5/hr Shark Cost/hr	{"duration":33192600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","55% for Ice Barrage","15% boost for Kodai wand","2% for Shark","Removing items: 18.1k Blood rune, 36.1k Death rune, 7k Shark, 54.2k Water rune"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	mage	412k XP/hr	0	0	0	260.3k	0	86.5k	65.1k		756.5 Sharks/hr	 Loot/hr	5877.6/hr Water rune,3918.4/hr Death rune,1959.2/hr Blood rune,756.5/hr Shark Cost/hr	{"duration":33192600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","55% for Ice Barrage","15% boost for Kodai wand","2% for Shark","Removing items: 18.1k Blood rune, 36.1k Death rune, 7k Shark, 54.2k Water rune"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	mage	225k XP/hr	0	0	0	142.2k	0	47.3k	35.6k		413.4 Sharks/hr	 Loot/hr	979.6/hr Cannonball,413.4/hr Shark Cost/hr	{"duration":60740400,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","30% for Cannon in singles","2% for Shark","Removing items: 16.5k Cannonball, 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	mage	285k XP/hr	0	0	0	0	180.2k	59.9k	45.1k		523.8 Sharks/hr	 Loot/hr	3918.4/hr Water rune,1959.2/hr Death rune,3918.4/hr Chaos rune,523.8/hr Shark Cost/hr	{"duration":47941600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","35% for Ice Burst","15% boost for Kodai wand","2% for Shark","Removing items: 52.2k Chaos rune, 26.1k Death rune, 7k Shark, 52.2k Water rune"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	mage	285k XP/hr	0	0	0	180.2k	0	59.9k	45.1k		523.8 Sharks/hr	 Loot/hr	3918.4/hr Water rune,1959.2/hr Death rune,3918.4/hr Chaos rune,523.8/hr Shark Cost/hr	{"duration":47941600,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","35% for Ice Burst","15% boost for Kodai wand","2% for Shark","Removing items: 52.2k Chaos rune, 26.1k Death rune, 7k Shark, 52.2k Water rune"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	mage	158k XP/hr	0	0	0	99.6k	0	33.1k	24.9k		289.4 Sharks/hr	 Loot/hr	289.4/hr Shark Cost/hr	{"duration":86769200,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	mage	158k XP/hr	0	0	0	99.6k	0	33.1k	24.9k		289.4 Sharks/hr	 Loot/hr	289.4/hr Shark Cost/hr	{"duration":86769200,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["magic"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range-def	126k XP/hr	0	0	39.8k	0	39.8k	26.5k	19.9k		231.5 Sharks/hr	 Loot/hr	231.5/hr Shark Cost/hr	{"duration":108456600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["ranged","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":0},"messages":["15.00% for stats","7% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.41% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.18x from risky Wilderness experience, 1x from being in no multi)","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range-def	126k XP/hr	0	0	39.8k	0	39.8k	26.5k	19.9k		231.5 Sharks/hr	 Loot/hr	231.5/hr Shark Cost/hr	{"duration":108456600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["ranged","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":0},"messages":["15.00% for stats","7% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.48% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.21x from risky Wilderness experience, 1x from being in no multi)","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range-def	180k XP/hr	0	0	56.9k	0	56.9k	37.8k	28.4k		330.7 Sharks/hr	 Loot/hr	979.6/hr Cannonball,330.7/hr Shark Cost/hr	{"duration":75920600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["ranged","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":2},"messages":["15.00% for stats","7% for KC","30% for Cannon in singles","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.66% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.29x from risky Wilderness experience, 1x from being in no multi)","Removing items: 20.7k Cannonball, 7k Shark"]}	{"quantity":9992,"messages":["You missed out on 8x kills because of pk encounters","You killed 9992x of your 10000 remaining kills, you now have 8 kills remaining."],"newKC":9992}
Ankou	range-def	225k XP/hr	0	0	71.1k	0	71.1k	47.3k	35.6k		413.4 Sharks/hr	 Loot/hr	979.6/hr Cannonball,413.4/hr Shark Cost/hr	{"duration":60740400,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","30% for Cannon in singles","2% for Shark","Removing items: 16.5k Cannonball, 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range-def	158k XP/hr	0	0	49.8k	0	49.8k	33.1k	24.9k		289.4 Sharks/hr	 Loot/hr	289.4/hr Shark Cost/hr	{"duration":86769200,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range-def	158k XP/hr	0	0	49.8k	0	49.8k	33.1k	24.9k		289.4 Sharks/hr	 Loot/hr	289.4/hr Shark Cost/hr	{"duration":86769200,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged","defence"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range	180k XP/hr	0	0	0	0	113.8k	37.8k	28.5k		330.7 Sharks/hr	 Loot/hr	979.6/hr Cannonball,330.7/hr Shark Cost/hr	{"duration":75920600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["ranged"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":0},"messages":["15.00% for stats","7% for KC","30% for Cannon in singles","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.73% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.32x from risky Wilderness experience, 1x from being in no multi)","Removing items: 20.7k Cannonball, 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range	126k XP/hr	0	0	0	0	79.7k	26.5k	19.9k		231.5 Sharks/hr	 Loot/hr	231.5/hr Shark Cost/hr	{"duration":108456600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["ranged"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":0},"messages":["15.00% for stats","7% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.53% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.24x from risky Wilderness experience, 1x from being in no multi)","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range	126k XP/hr	0	0	0	0	79.6k	26.5k	19.9k		231.5 Sharks/hr	 Loot/hr	231.5/hr Shark Cost/hr	{"duration":108456600,"quantity":10000,"isOnTask":true,"isInWilderness":true,"attackStyles":["ranged"],"currentTaskOptions":{"hasWildySupplies":true,"died":false,"pkEncounters":2},"messages":["15.00% for stats","7% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 0.06% per min (medium peak time)\n**Death Chance:** 0.66% per pk encounter (3% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.30x from risky Wilderness experience, 1x from being in no multi)","Removing items: 7k Shark"]}	{"quantity":9994,"messages":["You missed out on 6x kills because of pk encounters","You killed 9994x of your 10000 remaining kills, you now have 6 kills remaining."],"newKC":9994}
Ankou	range	225k XP/hr	0	0	0	0	142.2k	47.3k	35.6k		413.4 Sharks/hr	 Loot/hr	979.6/hr Cannonball,413.4/hr Shark Cost/hr	{"duration":60740400,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","30% for Cannon in singles","2% for Shark","Removing items: 16.5k Cannonball, 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range	158k XP/hr	0	0	0	0	99.6k	33.1k	24.9k		289.4 Sharks/hr	 Loot/hr	289.4/hr Shark Cost/hr	{"duration":86769200,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Ankou	range	158k XP/hr	0	0	0	0	99.6k	33.1k	24.9k		289.4 Sharks/hr	 Loot/hr	289.4/hr Shark Cost/hr	{"duration":86769200,"quantity":10000,"isOnTask":true,"isInWilderness":false,"attackStyles":["ranged"],"currentTaskOptions":{},"messages":["15.00% for stats","7% for KC","20% for Salve amulet (e) on melee task","2% for Shark","Removing items: 7k Shark"]}	{"quantity":10000,"messages":["**You've completed NaN tasks and received 4 points; giving you a total of 1004; return to a Slayer master.**"],"newKC":10000}
Artio	atk-str-def	52k XP/hr	12.9k	12.9k	12.9k	0	0	12.9k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":4944},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 1.96% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.26x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12644,"messages":["You missed out on 2061x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12644}
Artio	atk-str-def	52k XP/hr	12.9k	12.9k	12.9k	0	0	12.9k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":4953},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 1.80% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.24x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12640,"messages":["You missed out on 2065x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12640}
Artio	atk-str-def	51k XP/hr	12.9k	12.9k	12.9k	0	0	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["attack","strength","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":5035},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 1.74% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.23x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12606,"messages":["You missed out on 2099x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12606}
Artio	mage-def	52k XP/hr	0	0	19.3k	19.3k	0	12.9k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":4957},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 2.04% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.27x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12639,"messages":["You missed out on 2066x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12639}
Artio	mage-def	51k XP/hr	0	0	19.3k	19.3k	0	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":5080},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 1.62% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.22x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12587,"messages":["You missed out on 2118x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12587}
Artio	mage-def	51k XP/hr	0	0	19.3k	19.3k	0	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["magic","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":5099},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 1.80% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.24x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12580,"messages":["You missed out on 2125x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12580}
Artio	mage	51k XP/hr	0	0	0	38.6k	0	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["magic"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":4995},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 2.33% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.31x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12623,"messages":["You missed out on 2082x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12623}
Artio	mage	51k XP/hr	0	0	0	38.6k	0	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["magic"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":5010},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 2.27% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.30x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12617,"messages":["You missed out on 2088x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12617}
Artio	mage	51k XP/hr	0	0	0	38.5k	0	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["magic"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":5088},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 1.68% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.22x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12584,"messages":["You missed out on 2121x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12584}
Artio	range-def	51k XP/hr	0	0	19.3k	0	19.3k	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["ranged","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":5015},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 2.24% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.30x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12615,"messages":["You missed out on 2090x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12615}
Artio	range-def	51k XP/hr	0	0	19.3k	0	19.3k	12.8k	0		180.1 Sharks/hr	 Loot/hr	153.1/hr Blighted ancient ice sack,180.1/hr Shark Cost/hr	{"duration":2116672992,"quantity":14705,"isOnTask":false,"isInWilderness":true,"attackStyles":["ranged","defence"],"currentTaskOptions":{"hasWildySupplies":true,"died":true,"pkEncounters":5080},"messages":["15.00% for stats","10% for KC","2% for Shark","Your minion brought some supplies to survive potential pkers. (Handed back after trip if lucky), **PK Chance:** 14.29% per min (medium peak time)\n**Death Chance:** 2.25% per pk encounter (10% Base chance, 6.00x from wildy gear (weight 60% magic, 40% ranged, 20% melee), 0.5x from anti-pk supplies, 0.25x from overhead prayers, 0.30x from risky Wilderness experience, 1x from being in no multi)","Removing items: 90k Blighted ancient ice sack, 105.9k Shark"]}	{"quantity":12587,"messages":["You missed out on 2118x kills because of pk encounters and death","You died, you lost a lot of loot, and these equipped items: No items.. Your minion equips similar lost items from bank."],"newKC":12587}
