|                    Item name                    |                                                                                     Input Items                                                                                      |                                                                                     Output Items                                                                                     | GP Cost |
|                            Occult necklace (or) |                                                                      1x Occult necklace, 1x Occult ornament kit                                                                      | 1x Occult necklace (or)                                                                                                                                                              |       0 |
|                     Revert occult necklace (or) |                                                                               1x Occult necklace (or)                                                                                | 1x Occult necklace, 1x Occult ornament kit                                                                                                                                           |       0 |
|                          Rune scimitar (guthix) |                                                               1x Rune scimitar, 1x Rune scimitar ornament kit (guthix)                                                               | 1x Rune scimitar (guthix)                                                                                                                                                            |       0 |
|                   Revert rune scimitar (guthix) |                                                                              1x Rune scimitar (guthix)                                                                               | 1x Rune scimitar, 1x Rune scimitar ornament kit (guthix)                                                                                                                             |       0 |
|                       Rune scimitar (saradomin) |                                                             1x Rune scimitar, 1x Rune scimitar ornament kit (saradomin)                                                              | 1x Rune scimitar (saradomin)                                                                                                                                                         |       0 |
|                Revert rune scimitar (saradomin) |                                                                             1x Rune scimitar (saradomin)                                                                             | 1x Rune scimitar, 1x Rune scimitar ornament kit (saradomin)                                                                                                                          |       0 |
|                         Rune scimitar (zamorak) |                                                              1x Rune scimitar, 1x Rune scimitar ornament kit (zamorak)                                                               | 1x Rune scimitar (zamorak)                                                                                                                                                           |       0 |
|                  Revert rune scimitar (zamorak) |                                                                              1x Rune scimitar (zamorak)                                                                              | 1x Rune scimitar, 1x Rune scimitar ornament kit (zamorak)                                                                                                                            |       0 |
|                               Tzhaar-ket-om (t) |                                                                   1x Tzhaar-ket-om, 1x Tzhaar-ket-om ornament kit                                                                    | 1x Tzhaar-ket-om (t)                                                                                                                                                                 |       0 |
|                        Revert tzhaar-ket-om (t) |                                                                                 1x Tzhaar-ket-om (t)                                                                                 | 1x Tzhaar-ket-om, 1x Tzhaar-ket-om ornament kit                                                                                                                                      |       0 |
|                         Berserker necklace (or) |                                                              1x Berserker necklace, 1x Berserker necklace ornament kit                                                               | 1x Berserker necklace (or)                                                                                                                                                           |       0 |
|                  Revert berserker necklace (or) |                                                                              1x Berserker necklace (or)                                                                              | 1x Berserker necklace, 1x Berserker necklace ornament kit                                                                                                                            |       0 |
|                               Dark infinity hat |                                                                     1x Dark infinity colour kit, 1x Infinity hat                                                                     | 1x Dark infinity hat                                                                                                                                                                 |       0 |
|                        Revert dark infinity hat |                                                                                 1x Dark infinity hat                                                                                 | 1x Dark infinity colour kit, 1x Infinity hat                                                                                                                                         |       0 |
|                               Dark infinity top |                                                                     1x Dark infinity colour kit, 1x Infinity top                                                                     | 1x Dark infinity top                                                                                                                                                                 |       0 |
|                        Revert dark infinity top |                                                                                 1x Dark infinity top                                                                                 | 1x Dark infinity colour kit, 1x Infinity top                                                                                                                                         |       0 |
|                           Dark infinity bottoms |                                                                   1x Dark infinity colour kit, 1x Infinity bottoms                                                                   | 1x Dark infinity bottoms                                                                                                                                                             |       0 |
|                    Revert dark infinity bottoms |                                                                               1x Dark infinity bottoms                                                                               | 1x Dark infinity colour kit, 1x Infinity bottoms                                                                                                                                     |       0 |
|                              Light infinity hat |                                                                    1x Infinity hat, 1x Light infinity colour kit                                                                     | 1x Light infinity hat                                                                                                                                                                |       0 |
|                       Revert light infinity hat |                                                                                1x Light infinity hat                                                                                 | 1x Infinity hat, 1x Light infinity colour kit                                                                                                                                        |       0 |
|                              Light infinity top |                                                                    1x Infinity top, 1x Light infinity colour kit                                                                     | 1x Light infinity top                                                                                                                                                                |       0 |
|                       Revert light infinity top |                                                                                1x Light infinity top                                                                                 | 1x Infinity top, 1x Light infinity colour kit                                                                                                                                        |       0 |
|                          Light infinity bottoms |                                                                  1x Infinity bottoms, 1x Light infinity colour kit                                                                   | 1x Light infinity bottoms                                                                                                                                                            |       0 |
|                   Revert light infinity bottoms |                                                                              1x Light infinity bottoms                                                                               | 1x Infinity bottoms, 1x Light infinity colour kit                                                                                                                                    |       0 |
|                           Polar camouflage gear |                                                                                 4x Polar kebbit fur                                                                                  | 1x Polar camo legs, 1x Polar camo top                                                                                                                                                |      40 |
|                        Woodland camouflage gear |                                                                                 4x Common kebbit fur                                                                                 | 1x Wood camo legs, 1x Wood camo top                                                                                                                                                  |      40 |
|                          Jungle camouflage gear |                                                                                 4x Feldip weasel fur                                                                                 | 1x Jungle camo legs, 1x Jungle camo top                                                                                                                                              |      40 |
|                          Desert camouflage gear |                                                                                 4x Desert devil fur                                                                                  | 1x Desert camo legs, 1x Desert camo top                                                                                                                                              |      40 |
|                             Larupia hunter gear |                                                                         1x Larupia fur, 2x Tatty larupia fur                                                                         | 1x Larupia hat, 1x Larupia legs, 1x Larupia top                                                                                                                                      |     700 |
|                              Graahk hunter gear |                                                                          1x Graahk fur, 2x Tatty graahk fur                                                                          | 1x Graahk headdress, 1x Graahk legs, 1x Graahk top                                                                                                                                   |    1000 |
|                               Kyatt hunter gear |                                                                           1x Kyatt fur, 2x Tatty kyatt fur                                                                           | 1x Kyatt hat, 1x Kyatt legs, 1x Kyatt top                                                                                                                                            |    1400 |
|                                    Spotted cape |                                                                                2x Spotted kebbit fur                                                                                 | 1x Spotted cape                                                                                                                                                                      |     400 |
|                                   Spottier cape |                                                                                2x Dashing kebbit fur                                                                                 | 1x Spottier cape                                                                                                                                                                     |     800 |
|                               Gloves of silence |                                                                                  2x Dark kebbit fur                                                                                  | 1x Gloves of silence                                                                                                                                                                 |     600 |
|                           Twisted ancestral hat |                                                                  1x Ancestral hat, 1x Twisted ancestral colour kit                                                                   | 1x Twisted ancestral hat                                                                                                                                                             |       0 |
|                      Twisted ancestral robe top |                                                                1x Ancestral robe top, 1x Twisted ancestral colour kit                                                                | 1x Twisted ancestral robe top                                                                                                                                                        |       0 |
|                   Twisted ancestral robe bottom |                                                              1x Ancestral robe bottom, 1x Twisted ancestral colour kit                                                               | 1x Twisted ancestral robe bottom                                                                                                                                                     |       0 |
|            Revert twisted ancestral robe bottom |                                                                           1x Twisted ancestral robe bottom                                                                           | 1x Ancestral robe bottom, 1x Twisted ancestral colour kit                                                                                                                            |       0 |
|               Revert twisted ancestral robe top |                                                                            1x Twisted ancestral robe top                                                                             | 1x Ancestral robe top, 1x Twisted ancestral colour kit                                                                                                                               |       0 |
|                    Revert twisted ancestral hat |                                                                               1x Twisted ancestral hat                                                                               | 1x Ancestral hat, 1x Twisted ancestral colour kit                                                                                                                                    |       0 |
|                                       Puppadile |                                                                                 1x Metamorphic dust                                                                                  | 1x Puppadile                                                                                                                                                                         |       0 |
|                                         Tektiny |                                                                                 1x Metamorphic dust                                                                                  | 1x Tektiny                                                                                                                                                                           |       0 |
|                                        Vanguard |                                                                                 1x Metamorphic dust                                                                                  | 1x Vanguard                                                                                                                                                                          |       0 |
|                                    Vasa minirio |                                                                                 1x Metamorphic dust                                                                                  | 1x Vasa minirio                                                                                                                                                                      |       0 |
|                                         Vespina |                                                                                 1x Metamorphic dust                                                                                  | 1x Vespina                                                                                                                                                                           |       0 |
|                                     Lil' maiden |                                                                                   1x Sanguine dust                                                                                   | 1x Lil' maiden                                                                                                                                                                       |       0 |
|                                      Lil' bloat |                                                                                   1x Sanguine dust                                                                                   | 1x Lil' bloat                                                                                                                                                                        |       0 |
|                                       Lil' nylo |                                                                                   1x Sanguine dust                                                                                   | 1x Lil' nylo                                                                                                                                                                         |       0 |
|                                        Lil' sot |                                                                                   1x Sanguine dust                                                                                   | 1x Lil' sot                                                                                                                                                                          |       0 |
|                                       Lil' xarp |                                                                                   1x Sanguine dust                                                                                   | 1x Lil' xarp                                                                                                                                                                         |       0 |
|                                        Midnight |                                                                                       1x Noon                                                                                        | 1x Midnight                                                                                                                                                                          |       0 |
|                                   Baby mole-rat |                                                                              1x Baby mole, 1x Mole claw                                                                              | 1x Baby mole-rat                                                                                                                                                                     |       0 |
|                                       Tzrek-zuk |                                                                                    1x Jal-nib-rek                                                                                    | 1x Tzrek-zuk                                                                                                                                                                         |       0 |
|                                 Little parasite |                                                                        1x Little nightmare, 1x Parasitic egg                                                                         | 1x Little parasite                                                                                                                                                                   |       0 |
|                                           Ziggy |                                                                           1x Poison ivy berries, 1x Rocky                                                                            | 1x Ziggy                                                                                                                                                                             |       0 |
|                                             Red |                                                                               1x Redberries, 1x Rocky                                                                                | 1x Red                                                                                                                                                                               |       0 |
|                                Great blue heron |                                                                              1x Heron, 3k Spirit flakes                                                                              | 1x Great blue heron                                                                                                                                                                  |       0 |
|                               Greatish guardian |                                                                         1x Guardian's eye, 1x Rift guardian                                                                          | 1x Greatish guardian                                                                                                                                                                 |       0 |
|                                   Dark squirrel |                                                                           1x Dark acorn, 1x Giant squirrel                                                                           | 1x Dark squirrel                                                                                                                                                                     |       0 |
|                                   Bone Squirrel |                                                                        1x Calcified acorn, 1x Giant squirrel                                                                         | 1x Bone squirrel                                                                                                                                                                     |       0 |
|                             Corrupted youngllef |                                                                                     1x Youngllef                                                                                     | 1x Corrupted youngllef                                                                                                                                                               |       0 |
|                                      Dark totem |                                                             1x Dark totem base, 1x Dark totem middle, 1x Dark totem top                                                              | 1x Dark totem                                                                                                                                                                        |       0 |
|                             Dragon hunter lance |                                                                         1x Hydra's claw, 1x Zamorakian hasta                                                                         | 1x Dragon hunter lance                                                                                                                                                               |       0 |
|                                Ferocious gloves |                                                                                   1x Hydra leather                                                                                   | 1x Ferocious gloves                                                                                                                                                                  |       0 |
|                         Revert ferocious gloves |                                                                                 1x Ferocious gloves                                                                                  | 1x Hydra leather                                                                                                                                                                     |       0 |
|                                    Uncut zenyte |                                                                               1x Onyx, 1x Zenyte shard                                                                               | 1x Uncut zenyte                                                                                                                                                                      |       0 |
|                             Neitiznot faceguard |                                                                        1x Basilisk jaw, 1x Helm of neitiznot                                                                         | 1x Neitiznot faceguard                                                                                                                                                               |       0 |
|                      Revert neitiznot faceguard |                                                                                1x Neitiznot faceguard                                                                                | 1x Basilisk jaw, 1x Helm of neitiznot                                                                                                                                                |       0 |
|                                        Arclight |                                                                            3x Ancient shard, 1x Darklight                                                                            | 1x Arclight                                                                                                                                                                          |       0 |
|                              Boots of brimstone |                                                                          1x Boots of stone, 1x Drake's claw                                                                          | 1x Boots of brimstone                                                                                                                                                                |       0 |
|                                    Devout boots |                                                                          1x Drake's tooth, 1x Holy sandals                                                                           | 1x Devout boots                                                                                                                                                                      |       0 |
|                         Uncharged toxic trident |                                                                         1x Magic fang, 1x Uncharged trident                                                                          | 1x Uncharged toxic trident                                                                                                                                                           |       0 |
|                               Bryophyta's staff |                                                                1x Battlestaff, 1x Bryophyta's essence, 1k Nature rune                                                                | 1x Bryophyta's staff                                                                                                                                                                 |       0 |
|                         Toxic staff (uncharged) |                                                                         1x Magic fang, 1x Staff of the dead                                                                          | 1x Toxic staff (uncharged)                                                                                                                                                           |       0 |
|                                Abyssal tentacle |                                                                         1x Abyssal whip, 1x Kraken tentacle                                                                          | 1x Abyssal tentacle                                                                                                                                                                  |       0 |
|                                  Brimstone ring |                                                                  1x Hydra's eye, 1x Hydra's fang, 1x Hydra's heart                                                                   | 1x Brimstone ring                                                                                                                                                                    |       0 |
|                                  Guardian boots |                                                                      1x Bandos boots, 1x Black tourmaline core                                                                       | 1x Guardian boots                                                                                                                                                                    |       0 |
|                                Abyssal bludgeon |                                                                1x Bludgeon axon, 1x Bludgeon claw, 1x Bludgeon spine                                                                 | 1x Abyssal bludgeon                                                                                                                                                                  |       0 |
|                            Uncharged black mask |                                                                                  1x Black mask (10)                                                                                  | 1x Black mask                                                                                                                                                                        |       0 |
|                                 Slayer ring (8) |                                                                            1x Enchanted gem, 1x Gold bar                                                                             | 1x Slayer ring (8)                                                                                                                                                                   |       0 |
|                           Slayer ring (eternal) |                                                                             1x Eternal gem, 1x Gold bar                                                                              | 1x Slayer ring (eternal)                                                                                                                                                             |       0 |
|                                   Slayer helmet |                                               1x Black mask, 1x Earmuffs, 1x Enchanted gem, 1x Facemask, 1x Nose peg, 1x Spiny helmet                                                | 1x Slayer helmet                                                                                                                                                                     |       0 |
|                               Slayer helmet (i) |                                             1x Black mask (i), 1x Earmuffs, 1x Enchanted gem, 1x Facemask, 1x Nose peg, 1x Spiny helmet                                              | 1x Slayer helmet (i)                                                                                                                                                                 |       0 |
|                            Revert slayer helmet |                                                                                   1x Slayer helmet                                                                                   | 1x Black mask, 1x Earmuffs, 1x Enchanted gem, 1x Facemask, 1x Nose peg, 1x Spiny helmet                                                                                              |       0 |
|                        Revert slayer helmet (i) |                                                                                 1x Slayer helmet (i)                                                                                 | 1x Black mask (i), 1x Earmuffs, 1x Enchanted gem, 1x Facemask, 1x Nose peg, 1x Spiny helmet                                                                                          |       0 |
|                             Black slayer helmet |                                                                            1x Kbd heads, 1x Slayer helmet                                                                            | 1x Black slayer helmet                                                                                                                                                               |       0 |
|                         Black slayer helmet (i) |                                                                          1x Kbd heads, 1x Slayer helmet (i)                                                                          | 1x Black slayer helmet (i)                                                                                                                                                           |       0 |
|                      Revert black slayer helmet |                                                                                1x Black slayer helmet                                                                                | 1x Kbd heads, 1x Slayer helmet                                                                                                                                                       |       0 |
|                  Revert black slayer helmet (i) |                                                                              1x Black slayer helmet (i)                                                                              | 1x Kbd heads, 1x Slayer helmet (i)                                                                                                                                                   |       0 |
|                             Green slayer helmet |                                                                             1x Kq head, 1x Slayer helmet                                                                             | 1x Green slayer helmet                                                                                                                                                               |       0 |
|                         Green slayer helmet (i) |                                                                           1x Kq head, 1x Slayer helmet (i)                                                                           | 1x Green slayer helmet (i)                                                                                                                                                           |       0 |
|                      Revert green slayer helmet |                                                                                1x Green slayer helmet                                                                                | 1x Kq head, 1x Slayer helmet                                                                                                                                                         |       0 |
|                  Revert green slayer helmet (i) |                                                                              1x Green slayer helmet (i)                                                                              | 1x Kq head, 1x Slayer helmet (i)                                                                                                                                                     |       0 |
|                               Red slayer helmet |                                                                          1x Abyssal head, 1x Slayer helmet                                                                           | 1x Red slayer helmet                                                                                                                                                                 |       0 |
|                           Red slayer helmet (i) |                                                                        1x Abyssal head, 1x Slayer helmet (i)                                                                         | 1x Red slayer helmet (i)                                                                                                                                                             |       0 |
|                        Revert red slayer helmet |                                                                                 1x Red slayer helmet                                                                                 | 1x Abyssal head, 1x Slayer helmet                                                                                                                                                    |       0 |
|                    Revert red slayer helmet (i) |                                                                               1x Red slayer helmet (i)                                                                               | 1x Abyssal head, 1x Slayer helmet (i)                                                                                                                                                |       0 |
|                            Purple slayer helmet |                                                                            1x Dark claw, 1x Slayer helmet                                                                            | 1x Purple slayer helmet                                                                                                                                                              |       0 |
|                        Purple slayer helmet (i) |                                                                          1x Dark claw, 1x Slayer helmet (i)                                                                          | 1x Purple slayer helmet (i)                                                                                                                                                          |       0 |
|                     Revert purple slayer helmet |                                                                               1x Purple slayer helmet                                                                                | 1x Dark claw, 1x Slayer helmet                                                                                                                                                       |       0 |
|                 Revert purple slayer helmet (i) |                                                                             1x Purple slayer helmet (i)                                                                              | 1x Dark claw, 1x Slayer helmet (i)                                                                                                                                                   |       0 |
|                         Turquoise slayer helmet |                                                                         1x Slayer helmet, 1x Vorkath's head                                                                          | 1x Turquoise slayer helmet                                                                                                                                                           |       0 |
|                     Turquoise slayer helmet (i) |                                                                       1x Slayer helmet (i), 1x Vorkath's head                                                                        | 1x Turquoise slayer helmet (i)                                                                                                                                                       |       0 |
|                  Revert turquoise slayer helmet |                                                                              1x Turquoise slayer helmet                                                                              | 1x Slayer helmet, 1x Vorkath's head                                                                                                                                                  |       0 |
|              Revert turquoise slayer helmet (i) |                                                                            1x Turquoise slayer helmet (i)                                                                            | 1x Slayer helmet (i), 1x Vorkath's head                                                                                                                                              |       0 |
|                             Hydra slayer helmet |                                                                     1x Alchemical hydra heads, 1x Slayer helmet                                                                      | 1x Hydra slayer helmet                                                                                                                                                               |       0 |
